image,approach,vehicle_count_1min,volume_veh_per_hour,queue_length_veh,density_percent,avg_speed_kmh
frame_0237,CENTER,5,300,0,3.7123000621795654,55.0
frame_0237,RIGHT,0,0,0,0.0,60.0
frame_0250,LEFT,5,300,0,8.166600227355957,55.0
frame_0250,CENTER,6,360,0,4.623499870300293,55.0
frame_0250,RIGHT,0,0,0,0.0,60.0
frame_0319,LEFT,5,300,0,5.076600074768066,55.0
frame_0319,CENTER,5,300,0,5.485799789428711,55.0
frame_0319,RIGHT,0,0,0,0.0,60.0
frame_0282,LEFT,5,300,0,15.117799758911133,45.0
frame_0282,CENTER,6,360,0,8.048399925231934,55.0
frame_0282,RIGHT,0,0,0,0.0,60.0
frame_0098,LEFT,3,180,0,6.996500015258789,55.0
frame_0098,CENTER,3,180,0,12.74489974975586,45.0
frame_0098,RIGHT,0,0,0,0.0,60.0
frame_0049,LEFT,6,360,0,19.35610008239746,45.0
frame_0049,CENTER,2,120,0,6.488900184631348,55.0
frame_0049,RIGHT,1,60,0,6.548299789428711,55.0
frame_0155,LEFT,2,120,0,9.45199966430664,55.0
frame_0155,CENTER,6,360,0,9.756699562072754,55.0
frame_0155,RIGHT,0,0,0,0.0,60.0
frame_0253,LEFT,5,300,0,9.461400032043457,55.0
frame_0253,CENTER,7,420,0,5.156099796295166,55.0
frame_0253,RIGHT,0,0,0,0.0,60.0
frame_0329,LEFT,5,300,0,8.627400398254395,55.0
frame_0329,CENTER,5,300,0,6.682199954986572,55.0
frame_0329,RIGHT,0,0,0,0.0,60.0
frame_0151,LEFT,3,180,0,7.402400016784668,55.0
frame_0151,CENTER,5,300,0,9.099300384521484,55.0
frame_0151,RIGHT,0,0,0,0.0,60.0
frame_0246,LEFT,5,300,0,5.6203999519348145,55.0
frame_0246,CENTER,6,360,0,4.429200172424316,55.0
frame_0246,RIGHT,0,0,0,0.0,60.0
frame_0140,LEFT,2,120,0,3.761399984359741,55.0
frame_0140,CENTER,5,300,0,5.96120023727417,55.0
frame_0140,RIGHT,0,0,0,0.0,60.0
frame_0146,LEFT,3,180,0,5.2378997802734375,55.0
frame_0146,CENTER,6,360,0,8.170000076293945,55.0
frame_0146,RIGHT,0,0,0,0.0,60.0
frame_0143,LEFT,2,120,0,4.260499954223633,55.0
frame_0143,CENTER,5,300,0,7.231500148773193,55.0
frame_0143,RIGHT,0,0,0,0.0,60.0
frame_0102,LEFT,3,180,0,9.425700187683105,55.0
frame_0102,CENTER,3,180,0,13.6875,45.0
frame_0102,RIGHT,0,0,0,0.0,60.0
frame_0120,LEFT,3,180,0,0.9506999850273132,55.0
frame_0120,CENTER,5,300,0,9.083700180053711,55.0
frame_0120,RIGHT,0,0,0,0.0,60.0
frame_0320,LEFT,5,300,0,5.49399995803833,55.0
frame_0320,CENTER,5,300,0,5.621099948883057,55.0
frame_0320,RIGHT,0,0,0,0.0,60.0
frame_0206,LEFT,4,240,0,13.904500007629395,45.0
frame_0206,CENTER,5,300,0,2.3796000480651855,55.0
frame_0206,RIGHT,0,0,0,0.0,60.0
frame_0390,LEFT,4,240,0,12.041199684143066,45.0
frame_0390,CENTER,3,180,0,7.256400108337402,55.0
frame_0390,RIGHT,0,0,0,0.0,60.0
frame_0391,LEFT,4,240,0,10.382699966430664,45.0
frame_0391,CENTER,3,180,0,7.302599906921387,55.0
frame_0391,RIGHT,0,0,0,0.0,60.0
frame_0183,LEFT,3,180,0,3.207200050354004,55.0
frame_0183,CENTER,4,240,0,1.1333999633789062,55.0
frame_0183,RIGHT,0,0,0,0.0,60.0
frame_0012,LEFT,6,360,0,8.72700023651123,55.0
frame_0012,CENTER,2,120,0,5.211400032043457,55.0
frame_0012,RIGHT,0,0,0,0.0,60.0
frame_0202,LEFT,5,300,0,11.414199829101562,45.0
frame_0202,CENTER,5,300,0,2.1379001140594482,55.0
frame_0202,RIGHT,0,0,0,0.0,60.0
frame_0201,LEFT,5,300,0,10.635100364685059,45.0
frame_0201,CENTER,5,300,0,2.1166000366210938,55.0
frame_0201,RIGHT,0,0,0,0.0,60.0
frame_0023,LEFT,6,360,0,15.046600341796875,45.0
frame_0023,CENTER,2,120,0,5.510499954223633,55.0
frame_0023,RIGHT,0,0,0,0.0,60.0
frame_0099,LEFT,3,180,0,7.6402997970581055,55.0
frame_0099,CENTER,3,180,0,13.146599769592285,45.0
frame_0099,RIGHT,0,0,0,0.0,60.0
frame_0207,LEFT,5,300,0,14.159899711608887,45.0
frame_0207,CENTER,6,360,0,2.685800075531006,55.0
frame_0207,RIGHT,0,0,0,0.0,60.0
frame_0219,LEFT,3,180,0,8.236800193786621,55.0
frame_0219,CENTER,6,360,0,3.484100103378296,55.0
frame_0219,RIGHT,0,0,0,0.0,60.0
frame_0259,LEFT,6,360,0,16.8351993560791,45.0
frame_0259,CENTER,6,360,0,4.5142998695373535,55.0
frame_0259,RIGHT,0,0,0,0.0,60.0
frame_0089,LEFT,3,180,0,4.250899791717529,55.0
frame_0089,CENTER,3,180,0,11.062199592590332,45.0
frame_0089,RIGHT,0,0,0,0.0,60.0
frame_0351,LEFT,6,360,0,20.18939971923828,35.0
frame_0351,CENTER,4,240,0,10.900199890136719,45.0
frame_0351,RIGHT,0,0,0,0.0,60.0
frame_0048,LEFT,6,360,0,17.461700439453125,45.0
frame_0048,CENTER,2,120,0,6.4653000831604,55.0
frame_0048,RIGHT,1,60,0,5.868800163269043,55.0
frame_0258,LEFT,6,360,0,15.400699615478516,45.0
frame_0258,CENTER,6,360,0,4.517600059509277,55.0
frame_0258,RIGHT,0,0,0,0.0,60.0
frame_0349,LEFT,6,360,1,23.82900047302246,35.0
frame_0349,CENTER,4,240,0,11.231399536132812,45.0
frame_0349,RIGHT,0,0,0,0.0,60.0
frame_0251,LEFT,5,300,0,8.413700103759766,55.0
frame_0251,CENTER,7,420,0,4.878900051116943,55.0
frame_0251,RIGHT,0,0,0,0.0,60.0
frame_0085,LEFT,3,180,0,3.0295000076293945,55.0
frame_0085,CENTER,3,180,0,10.181900024414062,45.0
frame_0085,RIGHT,1,60,0,1.7740999460220337,55.0
frame_0087,LEFT,3,180,0,3.775399923324585,55.0
frame_0087,CENTER,3,180,0,10.722599983215332,45.0
frame_0087,RIGHT,0,0,0,0.0,60.0
frame_0167,LEFT,2,120,0,0.8381999731063843,55.0
frame_0167,CENTER,7,420,0,8.220399856567383,55.0
frame_0167,RIGHT,0,0,0,0.0,60.0
frame_0115,LEFT,2,120,0,2.1875,55.0
frame_0115,CENTER,5,300,0,10.922599792480469,45.0
frame_0115,RIGHT,0,0,0,0.0,60.0
frame_0324,LEFT,5,300,0,6.416800022125244,55.0
