no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes,camera_label,camera_key,camera_id,lat,lon,coordinate_source,confidence,coordinate_notes,coordinate_status,coordinate_issues,join_coordinate_status,weather_hour,temperature_2m,relative_humidity_2m,precipitation,rain,cloud_cover,wind_speed_10m,weather_code,weather_status,weather_error
11,malam,malam,cctv_011,2026-05-18,00:49:00,2026-05-18 00:49:00,Jakarta-Tangerang,malam_cctv_011_20260518_004900.mp4,frames\malam\malam_cctv_011_20260518_004900_frame_3s.jpg,3,malam_cctv_011_20260518_004900_frame_3s.jpg,km,KM 17+500,17+500,17.5,valid,valid,,KM 17+500,jakarta-tangerang_km_km_17plus500,CAM_007,-6.2194495,106.6572624,Google Maps,medium,,valid,,valid,2026-05-18T01:00,25.5,91,0.0,0.0,98,5.6,3,valid,
12,malam,malam,cctv_012,2026-05-18,03:29:29,2026-05-18 03:29:29,Jakarta-Tangerang,malam_cctv_012_20260518_032929.mp4,frames\malam\malam_cctv_012_20260518_032929_frame_3s.jpg,3,malam_cctv_012_20260518_032929_frame_3s.jpg,km,KM 00+600,00+600,0.6,valid,valid,,KM 00+600,jakarta-tangerang_km_km_00plus600,CAM_002,-6.2131428,106.6837664,Google Maps,high,,valid,,valid,2026-05-18T03:00,24.6,90,0.0,0.0,99,4.0,3,valid,
13,malam,malam,cctv_013,2026-05-18,03:31:06,2026-05-18 03:31:06,Jakarta-Tangerang,malam_cctv_013_20260518_033106.mp4,frames\malam\malam_cctv_013_20260518_033106_frame_3s.jpg,3,malam_cctv_013_20260518_033106_frame_3s.jpg,gate,GT MERUYA 2B,,,valid,valid,,GT MERUYA 2B,jakarta-tangerang_gate_gt_meruya_2b,CAM_001,-6.1911513,106.7441887,Google Maps,high,,valid,,valid,2026-05-18T04:00,25.2,84,0.0,0.0,97,3.6,3,valid,
14,malam,malam,cctv_014,2026-05-18,03:31:16,2026-05-18 03:31:16,Jakarta-Tangerang,malam_cctv_014_20260518_033116.mp4,frames\malam\malam_cctv_014_20260518_033116_frame_3s.jpg,3,malam_cctv_014_20260518_033116_frame_3s.jpg,km,KM 07+200,07+200,7.2,valid,valid,,KM 07+200,jakarta-tangerang_km_km_07plus200,CAM_011,-6.191635,106.730124,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.9,84,0.0,0.0,98,4.5,3,valid,
15,malam,malam,cctv_015,2026-05-18,03:32:41,2026-05-18 03:32:41,Jakarta-Tangerang,malam_cctv_015_20260518_033241.mp4,frames\malam\malam_cctv_015_20260518_033241_frame_3s.jpg,3,malam_cctv_015_20260518_033241_frame_3s.jpg,km,KM 11+600,11+600,11.6,valid,valid,,KM 11+600,jakarta-tangerang_km_km_11plus600,CAM_004,-6.2024517,106.7052155,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.9,84,0.0,0.0,98,4.5,3,valid,
16,malam,malam,cctv_016,2026-05-18,03:35:44,2026-05-18 03:35:44,Jakarta-Tangerang,malam_cctv_016_20260518_033544.mp4,frames\malam\malam_cctv_016_20260518_033544_frame_3s.jpg,3,malam_cctv_016_20260518_033544_frame_3s.jpg,km,KM 13+600,13+600,13.6,valid,valid,,KM 13+600,jakarta-tangerang_km_km_13plus600,CAM_005,-6.2142883,106.6820298,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.9,84,0.0,0.0,98,4.5,3,valid,
17,malam,malam,cctv_017,2026-05-18,03:38:42,2026-05-18 03:38:42,Jakarta-Tangerang,malam_cctv_017_20260518_033842.mp4,frames\malam\malam_cctv_017_20260518_033842_frame_3s.jpg,3,malam_cctv_017_20260518_033842_frame_3s.jpg,km,KM 19+300,19+300,19.3,valid,valid,,KM 19+300,jakarta-tangerang_km_km_19plus300,CAM_008,-6.223512,106.623845,Google Maps,medium,,valid,,valid,2026-05-18T04:00,24.5,92,0.0,0.0,94,3.5,3,valid,
18,pagi,pagi,cctv_001,2026-05-18,07:09:35,2026-05-18 07:09:35,Jakarta-Tangerang,pagi_cctv_001_20260518_070935.mp4,frames\pagi\pagi_cctv_001_20260518_070935_frame_3s.jpg,3,pagi_cctv_001_20260518_070935_frame_3s.jpg,km,KM 00+600,00+600,0.6,valid,valid,,KM 00+600,jakarta-tangerang_km_km_00plus600,CAM_002,-6.2131428,106.6837664,Google Maps,high,,valid,,valid,2026-05-18T07:00,25.6,80,0.0,0.0,99,4.7,3,valid,
19,pagi,pagi,cctv_002,2026-05-18,07:09:54,2026-05-18 07:09:54,Jakarta-Tangerang,pagi_cctv_002_20260518_070954.mp4,frames\pagi\pagi_cctv_002_20260518_070954_frame_3s.jpg,3,pagi_cctv_002_20260518_070954_frame_3s.jpg,gate,GT MERUYA 2B,,,valid,valid,,GT MERUYA 2B,jakarta-tangerang_gate_gt_meruya_2b,CAM_001,-6.1911513,106.7441887,Google Maps,high,,valid,,valid,2026-05-18T07:00,26.8,81,0.0,0.0,98,4.7,3,valid,
20,pagi,pagi,cctv_003,2026-05-18,07:10:57,2026-05-18 07:10:57,Jakarta-Tangerang,pagi_cctv_003_20260518_071057.mp4,frames\pagi\pagi_cctv_003_20260518_071057_frame_3s.jpg,3,pagi_cctv_003_20260518_071057_frame_3s.jpg,km,KM 10+600,10+600,10.6,valid,valid,,KM 10+600,jakarta-tangerang_km_km_10plus600,CAM_003,-6.2225065,106.6394746,Google Maps,medium,,valid,,valid,2026-05-18T07:00,25.2,85,0.0,0.0,99,5.5,3,valid,
