no,period,period_from_filename,cctv_id,overlay_date,overlay_time,timestamp_wib,ruas,video_file,selected_frame_path,selected_frame_second,selected_frame_file,location_type,location_text,km_text,km_decimal,manual_status,filename_parse_status,notes
12,malam,malam,cctv_012,2026-05-18,03:29:29,2026-05-18 03:29:29,Jakarta-Tangerang,malam_cctv_012_20260518_032929.mp4,frames\malam\malam_cctv_012_20260518_032929_frame_3s.jpg,3,malam_cctv_012_20260518_032929_frame_3s.jpg,km,KM 00+600,00+600,,need_location_input,valid,
13,malam,malam,cctv_013,2026-05-18,03:31:06,2026-05-18 03:31:06,Jakarta-Tangerang,malam_cctv_013_20260518_033106.mp4,frames\malam\malam_cctv_013_20260518_033106_frame_3s.jpg,3,malam_cctv_013_20260518_033106_frame_3s.jpg,gate,GT MERUYA 2B,,,need_location_input,valid,
14,malam,malam,cctv_014,2026-05-18,03:31:16,2026-05-18 03:31:16,Jakarta-Tangerang,malam_cctv_014_20260518_033116.mp4,frames\malam\malam_cctv_014_20260518_033116_frame_3s.jpg,3,malam_cctv_014_20260518_033116_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
15,malam,malam,cctv_015,2026-05-18,03:32:41,2026-05-18 03:32:41,Jakarta-Tangerang,malam_cctv_015_20260518_033241.mp4,frames\malam\malam_cctv_015_20260518_033241_frame_3s.jpg,3,malam_cctv_015_20260518_033241_frame_3s.jpg,km,KM 11+600,11+600,,need_location_input,valid,
16,malam,malam,cctv_016,2026-05-18,03:35:44,2026-05-18 03:35:44,Jakarta-Tangerang,malam_cctv_016_20260518_033544.mp4,frames\malam\malam_cctv_016_20260518_033544_frame_3s.jpg,3,malam_cctv_016_20260518_033544_frame_3s.jpg,km,KM 13+600,13+600,,need_location_input,valid,
17,malam,malam,cctv_017,2026-05-18,03:38:42,2026-05-18 03:38:42,Jakarta-Tangerang,malam_cctv_017_20260518_033842.mp4,frames\malam\malam_cctv_017_20260518_033842_frame_3s.jpg,3,malam_cctv_017_20260518_033842_frame_3s.jpg,km,KM 19+300,19+300,,need_location_input,valid,
18,pagi,pagi,cctv_001,2026-05-18,07:09:35,2026-05-18 07:09:35,Jakarta-Tangerang,pagi_cctv_001_20260518_070935.mp4,frames\pagi\pagi_cctv_001_20260518_070935_frame_3s.jpg,3,pagi_cctv_001_20260518_070935_frame_3s.jpg,km,KM 00+600,00+600,,need_location_input,valid,
19,pagi,pagi,cctv_002,2026-05-18,07:09:54,2026-05-18 07:09:54,Jakarta-Tangerang,pagi_cctv_002_20260518_070954.mp4,frames\pagi\pagi_cctv_002_20260518_070954_frame_3s.jpg,3,pagi_cctv_002_20260518_070954_frame_3s.jpg,gate,GT MERUYA 2B,,,need_location_input,valid,
20,pagi,pagi,cctv_003,2026-05-18,07:10:57,2026-05-18 07:10:57,Jakarta-Tangerang,pagi_cctv_003_20260518_071057.mp4,frames\pagi\pagi_cctv_003_20260518_071057_frame_3s.jpg,3,pagi_cctv_003_20260518_071057_frame_3s.jpg,km,KM 10+600,10+600,,need_location_input,valid,
21,pagi,pagi,cctv_004,2026-05-18,07:13:56,2026-05-18 07:13:56,Jakarta-Tangerang,pagi_cctv_004_20260518_071356.mp4,frames\pagi\pagi_cctv_004_20260518_071356_frame_3s.jpg,3,pagi_cctv_004_20260518_071356_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
22,pagi,pagi,cctv_005,2026-05-18,07:23:12,2026-05-18 07:23:12,Jakarta-Tangerang,pagi_cctv_005_20260518_072312.mp4,frames\pagi\pagi_cctv_005_20260518_072312_frame_3s.jpg,3,pagi_cctv_005_20260518_072312_frame_3s.jpg,km,KM 04+600,04+600,,need_location_input,valid,
23,pagi,pagi,cctv_006,2026-05-18,07:14:50,2026-05-18 07:14:50,Jakarta-Tangerang,pagi_cctv_006_20260518_071450.mp4,frames\pagi\pagi_cctv_006_20260518_071450_frame_3s.jpg,3,pagi_cctv_006_20260518_071450_frame_3s.jpg,km,KM 15+500,15+500,,need_location_input,valid,
24,pagi,pagi,cctv_007,2026-05-16,07:26:12,2026-05-16 07:26:12,Jakarta-Tangerang,pagi_cctv_007_20260516_072612.mp4,frames\pagi\pagi_cctv_007_20260516_072612_frame_3s.jpg,3,pagi_cctv_007_20260516_072612_frame_3s.jpg,km,KM 11+600,11+600,,need_location_input,valid,
25,pagi,pagi,cctv_008,2026-05-18,07:15:56,2026-05-18 07:15:56,Jakarta-Tangerang,pagi_cctv_008_20260518_071556.mp4,frames\pagi\pagi_cctv_008_20260518_071556_frame_3s.jpg,3,pagi_cctv_008_20260518_071556_frame_3s.jpg,km,KM 04+600,04+600,,need_location_input,valid,
26,pagi,pagi,cctv_009,2026-05-18,07:16:25,2026-05-18 07:16:25,Jakarta-Tangerang,pagi_cctv_009_20260518_071625.mp4,frames\pagi\pagi_cctv_009_20260518_071625_frame_3s.jpg,3,pagi_cctv_009_20260518_071625_frame_3s.jpg,km,KM 11+600,11+600,,need_location_input,valid,
27,pagi,pagi,cctv_010,2026-05-18,07:20:24,2026-05-18 07:20:24,Jakarta-Tangerang,pagi_cctv_010_20260518_072024.mp4,frames\pagi\pagi_cctv_010_20260518_072024_frame_3s.jpg,3,pagi_cctv_010_20260518_072024_frame_3s.jpg,km,KM 00+600,00+600,,need_location_input,valid,
28,pagi,pagi,cctv_011,2026-05-18,07:22:13,2026-05-18 07:22:13,Jakarta-Tangerang,pagi_cctv_011_20260518_072213.mp4,frames\pagi\pagi_cctv_011_20260518_072213_frame_3s.jpg,3,pagi_cctv_011_20260518_072213_frame_3s.jpg,gate,GT MERUYA 2B,,,need_location_input,valid,
29,pagi,pagi,cctv_012,2026-05-18,07:22:37,2026-05-18 07:22:37,Jakarta-Tangerang,pagi_cctv_012_20260518_072237.mp4,frames\pagi\pagi_cctv_012_20260518_072237_frame_3s.jpg,3,pagi_cctv_012_20260518_072237_frame_3s.jpg,km,KM 07+200,07+200,,need_location_input,valid,
30,pagi,pagi,cctv_013,2026-05-18,07:22:49,2026-05-18 07:22:49,Jakarta-Tangerang,pagi_cctv_013_20260518_072249.mp4,frames\pagi\pagi_cctv_013_20260518_072249_frame_3s.jpg,3,pagi_cctv_013_20260518_072249_frame_3s.jpg,km,KM 15+500,15+500,,need_location_input,valid,
31,pagi,pagi,cctv_014,2026-05-18,07:22:55,2026-05-18 07:22:55,Jakarta-Tangerang,pagi_cctv_014_20260518_072255.mp4,frames\pagi\pagi_cctv_014_20260518_072255_frame_3s.jpg,3,pagi_cctv_014_20260518_072255_frame_3s.jpg,km,KM 17+500,17+500,,need_location_input,valid,
